peraturan;tautan
Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 47, Tambahan Lembaran Negara Republik Indonesia, Nomor 4287);http://www.bpk.go.id/assets/files/storage/2013/12/file_storage_1386152419.pdf
"Undang-Undang Nomor 25 Tahun 2004 tentang Sistem Perencanaan Pembangunan Nasional (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 104, Tambahan Lembaran Negara Republik Indonesia Nomor 4421);";http://bsn.go.id/uploads/download/uu-2520041.pdf
"Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 125, Tambahan Lembaran Negara Republik Indonesia Nomor 4437) sebagaimana telah diubah beberapa kali, terakhir dengan Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 244, Tambahan Lembaran Negara Republik Indonesia Nomor 5587);";http://www.dpr.go.id/dokjdih/document/uu/33.pdf
"Peraturan Pemerintah Nomor 58 Tahun 2005 tentang Pengelolaan Keuangan Daerah (Lembaran Negara Republik Indonesia Tahun 2005 Nomor 140, Tambahan Lembaran Negara Republik Indonesia Nomor 4578);";http://www.djpk.depkeu.go.id/attach/post-no-58-tahun-2005-tentang-pengelolaan-keuangan-daerah/--376-490-PP58_2005.pdf
"Peraturan Pemerintah Republik Indonesia Nomor 6 Tahun 2008 Tentang Pedoman Evaluasi Penyelenggaraan Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 19, Tambahan Lembaran Negara Republik Indonesia Nomor 4815);";http://otda.kemendagri.go.id/CMS/Images/DaftarSPM/PP%20Nomor%206%20Tahun%202008.pdf
"Peraturan Pemerintah Nomor 8 Tahun 2008 tentang Tahapan, Tatacara Penyusunan, Pengendalian, dan Evaluasi Pelaksanaan Rencana Pembangunan Daerah (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 21, Tambahan Lembaran Negara Republik Indonesia Nomor 4817);";http://hukum.unsrat.ac.id/pp/pp_8_2008.pdf
"Peraturan Pemerintah Nomor 32 Tahun 2014 tentang Perubahan Atas Peraturan Pemerintah Nomor 19 Tahun 2010 Tentang Tatacara Pelaksanaan Tugas dan Wewenang serta Kedudukan Keuangan Gubernur sebagai Wakil Pemerintah di Wilayah Provinsi (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 44);";http://www.hukumonline.com/pusatdata/downloadfile/lt5583d359ecaf3/parent/lt5583d294b5bfa
Peraturan Menteri Dalam Negeri Nomor 86 Tahun 2017 Tentang tata cara perencanaan, pengendalian dan evaluasi pembangunan daerah, tata cara evaluasi rancangan peraturan daerah tentang rencana pembangunan jangka panjang daerah dan rencana pembangunan jangka menengah daerah, serta tata cara perubahan rencana pembangunan jangka panjang daerah, rencana pembangunan jangka menengah daerah, dan rencana kerja pemerintah daerah.;http://www.jdih.setjen.kemendagri.go.id/pm/Permendagri%20No.86%20TH%202017.pdf
